country,County,SubCounty,Division,Location,SubLocation,Total,Sex Male ,Sex Female,Total,HouseholdsConventional,HouseholdsGroupQuarters,LandAreaSq.Km,DensityPersonsperSq.Km
KENYA,NAIROBI CITY,DAGORETTI,,,DAGORETTI,434208,217651,216526,155089,154949,140,29.1,14908
KENYA,NAIROBI CITY,DAGORETTI,KAWANGWARE,,KAWANGWARE,291565,146666,144879,105258,105217,41,11.1,26367
KENYA,NAIROBI CITY,DAGORETTI,KAWANGWARE,GATINA,GATINA,63560,33169,30389,24005,23996,9,1.5,42778
KENYA,NAIROBI CITY,DAGORETTI,KAWANGWARE,,CONGO,31914,16356,15557,12160,12160,-,0.7,45463
KENYA,NAIROBI CITY,DAGORETTI,KAWANGWARE,,GATINA,31646,16813,14832,11845,11836,9,0.8,40373
KENYA,NAIROBI CITY,DAGORETTI,KAWANGWARE,KAWANGWARE,KAWANGWARE,91487,45682,45801,33008,32981,27,2.4,37533
KENYA,NAIROBI CITY,DAGORETTI,KAWANGWARE,,KABIRO,36228,18160,18068,13328,13317,11,0.8,46767
KENYA,NAIROBI CITY,DAGORETTI,KAWANGWARE,,KAWANGWARE,30587,14581,16002,10893,10877,16,0.9,33605
KENYA,NAIROBI CITY,DAGORETTI,KAWANGWARE,,MUSLIM,24672,12941,11731,8787,8787,-,0.8,32779
KENYA,NAIROBI CITY,DAGORETTI,KAWANGWARE,NGANDO,NGANDO,49921,25637,24275,18784,18784,-,3.2,15425
KENYA,NAIROBI CITY,DAGORETTI,KAWANGWARE,,GITHEMBE,17361,8732,8628,6510,6510,-,0.9,19781
KENYA,NAIROBI CITY,DAGORETTI,KAWANGWARE,,NGANDO,32560,16905,15647,12274,12274,-,2.4,13804
KENYA,NAIROBI CITY,DAGORETTI,KAWANGWARE,RIRUTA,RIRUTA,86597,42178,44414,29461,29456,5,3.9,22215
KENYA,NAIROBI CITY,DAGORETTI,KAWANGWARE,,RIRUTA,40465,19586,20876,14259,14259,-,2.1,19408
KENYA,NAIROBI CITY,DAGORETTI,KAWANGWARE,,SATELITE,46132,22592,23538,15202,15197,5,1.8,25443
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,,WAITHAKA,142643,70985,71647,49831,49732,99,18.1,7894
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,KABIRIA,KABIRIA,27024,14298,12720,9781,9735,46,2.7,9874
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,,KABIRIA,20391,10748,9638,7382,7336,46,1.6,13054
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,,MUTEGO,6633,3550,3082,2399,2399,-,1.2,5646
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,MUTUINI,MUTUINI,22964,11342,11621,7887,7882,5,4.3,5339
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,,GITIBA,15138,7300,7838,5072,5067,5,1.4,10458
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,,MUTUINI,7826,4042,3783,2815,2815,-,2.9,2742
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,RUTHIMITU,RUTHIMITU,19425,9352,10072,6454,6410,44,3.7,5291
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,,KAGIRA,5841,2922,2918,1923,1879,44,2.5,2344
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,,RUTHIMITU,13584,6430,7154,4531,4531,-,1.2,11521
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,UTHIRU,UTHIRU,32377,16044,16332,11839,11837,2,4.3,7613
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,,KIURU,6171,3105,3066,2108,2108,-,1.8,3480
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,,UTHIRU,26206,12939,13266,9731,9729,2,2.5,10568
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,WAITHAKA,WAITHAKA,40853,19949,20902,13870,13868,2,3.1,13152
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,,MUKARARA,10686,5256,5430,3405,3405,-,1.2,8664
KENYA,NAIROBI CITY,DAGORETTI,WAITHAKA,,WAITHAKA,30167,14693,15472,10465,10463,2,1.9,16107
KENYA,NAIROBI CITY,EMBAKASI,,,EMBAKASI,988808,492476,496270,347955,346462,1493,86.3,11460
KENYA,NAIROBI CITY,EMBAKASI,EMBAKASI,,EMBAKASI,539856,279572,260241,206380,204898,1482,73.6,7333
KENYA,NAIROBI CITY,EMBAKASI,EMBAKASI,EMBAKASI,EMBAKASI,178387,87403,90972,62143,60694,1449,66.9,2665
KENYA,NAIROBI CITY,EMBAKASI,EMBAKASI,,EMBAKASI,69887,33953,35926,23944,22589,1355,60.5,1155
KENYA,NAIROBI CITY,EMBAKASI,EMBAKASI,,TASSIA,88874,43859,45011,30948,30948,-,2.5,35196
KENYA,NAIROBI CITY,EMBAKASI,EMBAKASI,,UTAWALA,19626,9591,10035,7251,7157,94,3.9,5073
KENYA,NAIROBI CITY,EMBAKASI,EMBAKASI,MUKURU KWA NJENGA,MUKURU KWA NJENGA,242941,128813,114102,97890,97890,-,2.8,87538
KENYA,NAIROBI CITY,EMBAKASI,EMBAKASI,,KWARE,166517,87056,79439,66811,66811,-,1.6,106445
KENYA,NAIROBI CITY,EMBAKASI,EMBAKASI,,MUKURU KWA NJENGA,76424,41757,34663,31079,31079,-,1.2,63111
KENYA,NAIROBI CITY,EMBAKASI,EMBAKASI,IMARA DAIMA,IMARA DAIMA,118528,63356,55167,46347,46314,33,3.9,30274
KENYA,NAIROBI CITY,EMBAKASI,EMBAKASI,,IMARA DAIMA,52837,26954,25879,19648,19615,33,2,25920
KENYA,NAIROBI CITY,EMBAKASI,EMBAKASI,,KWA REUBEN,65691,36402,29288,26699,26699,-,1.9,35002
KENYA,NAIROBI CITY,EMBAKASI,KAYOLE,,KAYOLE,183873,88740,95123,56981,56981,-,4.7,39127
KENYA,NAIROBI CITY,EMBAKASI,KAYOLE,KAYOLE,KAYOLE,118728,59050,59671,40194,40194,-,1.6,73023
KENYA,NAIROBI CITY,EMBAKASI,KAYOLE,,KAYOLE CENTRAL,42134,20656,21477,14053,14053,-,0.7,64714
KENYA,NAIROBI CITY,EMBAKASI,KAYOLE,,KAYOLE SOUTH,76594,38394,38194,26141,26141,-,1,78573
KENYA,NAIROBI CITY,EMBAKASI,KAYOLE,KOMAROCK,KOMAROCK,65145,29690,35452,16787,16787,-,3.1,21196
KENYA,NAIROBI CITY,EMBAKASI,KAYOLE,,KOMAROCK NORTH,24958,11594,13361,7070,7070,-,1.2,21514
KENYA,NAIROBI CITY,EMBAKASI,KAYOLE,,KOMAROCK SOUTH,40187,18096,22091,9717,9717,-,1.9,21003
KENYA,NAIROBI CITY,EMBAKASI,UMOJA,,UMOJA,265079,124164,140906,84594,84583,11,8,33290
KENYA,NAIROBI CITY,EMBAKASI,UMOJA,SAVANNAH,SAVANNAH,124863,60515,64344,41129,41125,4,4.8,25931
KENYA,NAIROBI CITY,EMBAKASI,UMOJA,,DONHOLM,53904,23989,29913,15412,15412,-,3.1,17553
KENYA,NAIROBI CITY,EMBAKASI,UMOJA,,SAVANNAH,70959,36526,34431,25717,25713,4,1.7,40683
KENYA,NAIROBI CITY,EMBAKASI,UMOJA,UMOJA,UMOJA,140216,63649,76562,43465,43458,7,3.1,44547
KENYA,NAIROBI CITY,EMBAKASI,UMOJA,,UMOJA 2,75960,34635,41323,23214,23207,7,1.6,47554
KENYA,NAIROBI CITY,EMBAKASI,UMOJA,,UMOJA 1,64256,29014,35239,20251,20251,-,1.6,41449
KENYA,NAIROBI CITY,KAMUKUNJI,,,KAMUKUNJI,268276,136670,131599,84365,83680,685,10.5,25455
KENYA,NAIROBI CITY,KAMUKUNJI,EASTLEIGH,,EASTLEIGH,225815,113747,112064,67552,66867,685,9.3,24234
KENYA,NAIROBI CITY,KAMUKUNJI,EASTLEIGH,AIRBASE,AIRBASE,40110,21056,19054,11066,10384,682,5,7947
