wkt_geom,time,amenity,feature,descriptio
Point (36.91336299999999682 -1.28886199999999995),2016-05-30,Children Home,Nazarene Children Home,Offers basic needs to needy children
Point (36.91543399999999764 -1.28513199999999994),2016-05-30,Children Centre,Beth Saida Children Centre,"Provides affordable fee, and educates needy children."
Point (36.9150109999999998 -1.28498000000000001),2016-05-30,Rescue Centre,,Rescues small babies that have been abandoned or dumped
Point (36.91404299999999949 -1.28448300000000004),2016-05-30,Rescue Centre,Club House Maisha Mema,Give chances to positive parents hope in life and also provide education for their children also give home to orphan
Point (36.9107270000000014 -1.28680900000000009),2016-05-30,Children Home,Bethlehem Centre Home,Provides home for orphans and abandoned children
Point (36.91017000000000081 -1.28803099999999993),2016-05-30,Children  Home,Max Facion Childrens Home,"Provides home for orphans,street and abandoned children"
Point (36.90997899999999987 -1.28901700000000008),2016-05-30,Childcare's Care,Rural Vision Children Care,Provides services to young ones within the community
Point (36.90569099999999736 -1.29018199999999994),2016-05-30,Children Home,Edevale Children Home,Educates less fortunate  pupil and offers basic needs
Point (36.91628599999999949 -1.28311400000000009),2016-05-30,Children Home,Good Samaritan Children Home,Rescue children and give them basic needs.
Point (36.91560100000000233 -1.28260200000000002),2016-05-30,Children Home,Mum Loves Children,Rescue children and give them basic needs.
