wkt_geom,name,level,type,owner,descriptn
Point (36.91161000000000314 -1.28242699999999998),City Shine Secondary School,Secondary,Informal,CBO,Congested compound with minimal classroom hence no place for games and sports
Point (36.91082399999999808 -1.28213200000000005),Tom And Jerry School,pre-primary,Informal,CBO,Since the school only offer up to class two it confuse children not to move forward with education.
Point (36.9104510000000019 -1.28243799999999997),Soweto Revelation Academy,pre-primary to primary,,Religious institution,Children are taught christian ways hence well behaved
Point (36.9119620000000026 -1.28299399999999997),St Veronica Community School,pre-primary to primary,Informal,Religious institution,Provides education based on christian ways
Point (36.91054100000000204 -1.28317700000000001),Elite Upper Hill,pre-primary to primary,Informal,,Education centre but not hygienically maintained
Point (36.91240899999999669 -1.283887),City Shine Secondary School 2,Secondary,Informal,,Environment not friendly hence encourage students to go astray
Point (36.91267700000000218 -1.28402100000000008),Senior Mixed school,Secondary,Informal,Individual,Due to openness its expose students
Point (36.91225500000000181 -1.28422199999999997),Remnant Royal Elegant school,Primary,Informal,Individual,christian ways are practice
Point (36.91212800000000271 -1.28417099999999995),St Veronica Community School,pre-primary,,Individual,Provides good foundation hence learn good moral at early stage
Point (36.91114000000000317 -1.28377600000000003),Renon Clarke Education Centre,Primary,,Individual,Environment not friendly hence making student prefer being outside.
Point (36.9103149999999971 -1.28348400000000007),Highrise High School,Secondary,Informal,Individual,Its located in a busy area making it possible to accommodates  students
Point (36.91092700000000093 -1.28407399999999994),St Veronica Community Secondary School,Secondary,Informal,,Provide learning environment to students
Point (36.91154999999999831 -1.28468599999999999),Smart Child Community Centre,pre-primary,Informal,Individual,Creates good foundation for toddlers
Point (36.91092900000000299 -1.284443),Gate Hill Foundation,pre-primary to primary,,Individual,Provides a learning institution and discipline inflicting centre
Point (36.91087699999999927 -1.28441399999999994),Day Care,pre-primary,Informal,Individual,Provide standard foundation for toddlers
Point (36.91066699999999656 -1.28433799999999998),Baraka Education Centre,pre-primary,Informal,Individual,Creates good foundation for little kids
Point (36.91007599999999655 -1.28408900000000004),Christian Growth Education Centre,Religious institution,Informal,Individual,Christian ways are practiced hence bad behavior are not allowed
Point (36.91011699999999962 -1.28449199999999997),St Samuel School,pre-primary,,Individual,Provides foundation for toddlers who are just beginning education.
Point (36.91089699999999851 -1.28480700000000003),Highlight Junior Academy,pre-primary to primary,Informal,Individual,Provides quality education and discipline
Point (36.91071399999999869 -1.28519099999999997),Joem Education Centre,pre-primary to primary,Informal,Individual,Provides foundation for toddlers.
Point (36.91278199999999998 -1.28232900000000005),Beclin Day Care,Pre-primary,Informal,Religious institution,School owned by salvation army church hence safe for children to learn good relationship to each other.
Point (36.91248000000000218 -1.28234099999999995),Vision Link School,Primary,Informal,Religious institution,"No playing ground hence not safe for children to play,no streetlight hence not safe during at night."
Point (36.91163999999999845 -1.28245699999999996),City Shine Secondary School,Secondary,Informal,Individual,No streetlight and rough with no playing ground hence not safe and secure to community.
Point (36.90903099999999881 -1.2788520000000001),X pats Computer Training Centre,College,Informal,Individual,Near the road and streetlight hence safe during at night
Point (36.90797799999999995 -1.27831300000000003),Seniors Driving School,College,Informal,Individual,Based near stage where mugging normally occurs hence not safe.
Point (36.91047400000000067 -1.28181499999999993),Zion Preparatory School,Pre-primary to primary,Informal,Individual,Rough playing ground hence not safe for children.
Point (36.90956700000000268 -1.28285099999999996),The Orchards Academy Kayole,Pre-primary,Informal,Individual,rough area with no playing ground hence not safe for children.
Point (36.91300600000000287 -1.28886400000000001),Bright Shinners School,Primary,Informal,Individual,Keeping children safe instead of roaming around
Point (36.91354700000000122 -1.28879100000000002),Nazarene orphan Centre,Primary,Informal,CBO,Helps orphan or abandon children to have home.
Point (36.91454999999999842 -1.28968700000000003),New Blessing Primary School,Primary,Informal,Individual,Centre for children who are orphan and abandoned
Point (36.91481999999999886 -1.28869199999999995),Nazarene orphan Centre,Primary,Informal,Individual,Helps orphan or abandon children to have home.
Point (36.91411099999999834 -1.2880100000000001),Kwa Watoto Centre School,Primary,Informal,CBO,Provide education and rehabilitation to orphan and abandon children
Point (36.91388899999999751 -1.28815499999999994),kwa Watoto Centre School(St Mathew High School),Secondary,Informal,CBO,Provide education and rehabilitation to orphan and abandon children
Point (36.91440399999999755 -1.28695599999999999),Galilee Primary School,Primary,Informal,CBO,Rehabilitation for orphan and street children to learn life skill thus enhance behavioral change
Point (36.91429000000000116 -1.28596700000000008),Lorna Waddington High School,Secondary,Informal,Individual,Offers education to young people thus encouraging them to abandon hooliganism and also helps orphans to get education.
Point (36.91429000000000116 -1.285968),Zennith Education Centre,Primary,Informal,CBO,offers education and rehabilitates orphans thus also offering daycare services to children in the community
Point (36.91494999999999749 -1.28599899999999989),St Micah Community Centre B,Primary,Informal,Individual,Reduce anti-social and helps young people from joining bad groups
Point (36.91566499999999706 -1.28662999999999994),Geomarg Education Centre,Pre- primary,Informal,Individual,Offers education to young people thus encouraging them to abandon hooliganism and also helps orphans to get education.
Point (36.91608899999999949 -1.28657500000000002),Ambassador Joe School,Primary,Informal,Individual,Provide education and rehabilitation to orphan and abandon children
Point (36.91552699999999732 -1.28617000000000004),Mwangaza B Education Centre,pre- primary,Informal,CBO,They help curb illiteracy and offers daycare.
