wkt_geom,time,name,type,desc
Point (36.91103600000000284 -1.28639400000000004),2016-05-25,Chosen Holy Ghost Church of Christ,church,"place of worship,security as well couselling"
Point (36.91041599999999789 -1.28611900000000001),2016-05-25,Genesis Worship Centre,church,"place of worship,security as well couselling"
Point (36.90981599999999929 -1.2858099999999999),2016-05-25,Glory River Nation,church,"provides security,behavior change and spiritual nourishment"
Point (36.90966099999999983 -1.28541400000000006),2016-05-25,Power Emmanuel Ministry,church,"provides security,behavior change and spiritual nourishment"
Point (36.9093250000000026 -1.28557600000000005),2016-05-25,Pentcoastal Evangelism Ministry,church,"enhances good morals,scurity and spiritual nourishment"
Point (36.909635999999999 -1.28553099999999998),2016-05-25,C.T.C Church,church,"promotes peace building,security and couselling"
Point (36.91184700000000163 -1.28636700000000004),2016-05-25,Roho Israel Church,church,"place of worship,security as well couselling"
Point (36.9117079999999973 -1.28600000000000003),2016-05-25,Redeemed Divine Ministry,church,"enhances good morals,scurity and spiritual nourishment"
Point (36.91128100000000245 -1.285771),2016-05-25,Mwangaza Wa Wana WA Israeli,church,"enhances good morals,scurity and spiritual nourishment"
Point (36.91040000000000276 -1.28538200000000002),2016-05-25,Malaki Power Centre Headquater,church,"place of worship,security as well couselling"
Point (36.91004499999999666 -1.2853159999999999),2016-05-25,United Believers Church,church,"place of worship,security as well couselling"
Point (36.90960299999999705 -1.284999),2016-05-25,Eden Faith Ministry Worship Centre,church,"enhances good morals,scurity and spiritual nourishment"
Point (36.91012599999999821 -1.28490700000000002),2016-05-25,Power of the Cross Ministry,church,"enhances good morals,scurity and spiritual nourishment"
Point (36.91026600000000002 -1.28492899999999999),2016-05-25,Faithfull Evangelist Church,church,"enhances good morals,scurity and spiritual nourishment"
Point (36.91151200000000188 -1.28544600000000009),2016-05-25,Worldwide Gospel Church,church,"promotes peace building,security and couselling"
Point (36.91208499999999759 -1.2857670000000001),2016-05-25,Pentecoastal Family Centre,church,"enhances good morals,scurity and spiritual nourishment"
Point (36.91069399999999945 -1.28473700000000002),2016-05-25,Faith P.A.G,church,"place of worship,security as well couselling"
Point (36.90998600000000351 -1.28409499999999999),2016-05-25,C.W.C Church,church,"place of worship,security as well couselling"
Point (36.91013499999999681 -1.28411000000000008),2016-05-25,Blood of Christ Ministries,church,"place of worship,security as well couselling"
Point (36.911327 -1.28463599999999989),2016-05-25,Maranatha Faith Church,church,"place of worship,security as well couselling"
Point (36.91154399999999924 -1.28471399999999991),2016-05-25,Mosque,mosque,"place of worship for the muslims,promotes peace,security and couselling"
Point (36.91263699999999659 -1.28476400000000002),2016-05-25,Priesthood Fellowship Church,church,"place of worship ,security enhancement as well  as couselling"
Point (36.91190100000000029 -1.28446600000000011),2016-05-25,Power of Ressurrection Ministries,church,"place of worship,security as well couselling"
Point (36.91065400000000096 -1.28395400000000004),2016-05-25,Apostolic World Revival Ministry,church,"place of worship,security as well couselling"
Point (36.91039299999999912 -1.28352700000000008),2016-05-25,Standard of Living Church Intern.,church,"promotes peace building,security and couselling"
Point (36.91221800000000286 -1.28424399999999994),2016-05-25,Remnant Apostolic Ministry,church,"place of worship,security as well couselling"
