WKT,osm_id,amenity,denomination,name,religion,operational_status,opening_hours,operator:type
POINT (36.779585864287796 -1.318615989747856),612007527,place_of_worship,protestant,Light Evangelism,christian,,,
POINT (36.794214479532044 -1.318750521738292),612007405,place_of_worship,,Nairobi Dam Pentecostal Church,christian,,,
POINT (36.79487671755949 -1.319260539812195),767108093,place_of_worship,evangelical,World Ecclesiastes church,christian,operational,,religious
POINT (36.794803415032305 -1.318892956801675),767095605,place_of_worship,evangelical,Nomiya Church,christian,,,
POINT (36.796357949631478 -1.3186387111059),612009196,place_of_worship,pentecostal,Deliverance Church,christian,,,
POINT (36.798141554628096 -1.318736242308417),612008634,place_of_worship,pentecostal,Fellowship Church of Christ,christian,,,
POINT (36.798681262450792 -1.318448947346432),612008632,place_of_worship,protestant,"ACK Emmanuel church, school & clinic",christian,,,
POINT (36.775468795509141 -1.314794757301361),695125195,place_of_worship,pentecostal,Azusa World Ministries,christian,,,
POINT (36.776006077880581 -1.313743106835976),612007198,place_of_worship,multiple,Soweto West LLC Church,christian,,08:00-17:00,
POINT (36.777676764645982 -1.31768387504309),612006935,place_of_worship,protestant,Church on The Rock,christian,,,
POINT (36.777916614826843 -1.317790476867735),4736985426,place_of_worship,protestant,Upendo SDA Church,christian,,,
POINT (36.778840981254206 -1.317118714661538),612007101,place_of_worship,protestant,Community Church,christian,,Su 08:30-14:00,
POINT (36.777730483899973 -1.316860876472523),612008374,place_of_worship,pentecostal,Beth Face Church,christian,,,
POINT (36.778741178426138 -1.316639949267408),612007097,place_of_worship,protestant,St Christine Community Church,christian,,Su 09:00-12:00,
POINT (36.77840341187931 -1.315687537250545),763457811,place_of_worship,catholic,Saint Bakhita,christian,,,
POINT (36.780849165071849 -1.316578520723988),612007914,place_of_worship,protestant,Maranatha Faith Assembly,christian,,,
POINT (36.777527823971873 -1.315353631659626),612007887,place_of_worship,,Living bread church of Christ,christian,,08:00-17:00,
POINT (36.779131586248617 -1.315124711420977),1015625611,place_of_worship,protestant,Christ Life Liberation,christian,,Su 7:00-17:00,
POINT (36.779093677343624 -1.314990807889953),612008867,place_of_worship,catholic,Voice of salvation,christian,,Su 07:00-18:00,
POINT (36.779713245395087 -1.315056008402936),1727588866,place_of_worship,,kingdom vision,christian,,,
POINT (36.780387610678872 -1.314892737693642),612007106,place_of_worship,jehovahs_witness,Kingdom Hall of Jehovahs witness,christian,,Su 09:00-12:00,
POINT (36.780342066093965 -1.314744824121042),612008452,place_of_worship,protestant,Calvary Temple of East Africa,christian,,08:00-14:00,
POINT (36.781124229211848 -1.314592509953341),612009576,place_of_worship,protestant,Katwekera sda Church,christian,,08:00-17:00,
