WKT,osm_id,access,amenity,name,operator,operational_status,watsan:cost,opening_hours,operational_status:electricity,operator:type
POINT (36.778678476019302 -1.31914684324058),612007529,yes,toilets,,,operational,5 shillings per head,08:00-20:00,,local_authority
POINT (36.778358765609688 -1.318627754561737),769158958,yes,toilets,,,operational,KShs 5,08:00-21:00,,local_authority
POINT (36.779382216212888 -1.318857123517265),612007518,yes,toilets,,,operational,5 shillings per head,06:00-20:00,,private
POINT (36.794130307389921 -1.318592729543177),612009028,yes,toilets,,,operational,"Ksh.3 toilet, Ksh. 5 bathroom",Mo-Su 06:00-21:00,,ngo_cbo
POINT (36.79472714806468 -1.319406656962525),775537590,yes,toilets,,,operational,"Ksh.3 toilet, Ksh. 5 bathroom",Mo-Su 06:00-21:00,,ngo_cbo
POINT (36.794957296440479 -1.318593897043811),775537587,yes,toilets,,,operational,"Ksh.3 toilet, Ksh. 5 bathroom",Mo-Su 06:00-21:00,,ngo_cbo
POINT (36.795837016598213 -1.318639788798763),612009020,yes,toilets,,,operational,"Ksh.2 toilet, Ksh. 10 bathroom",Mo-Su 06:00-21:00,,ngo_cbo
POINT (36.796105882362752 -1.318577641842719),612009025,yes,toilets,,,operational,Ksh.3,Mo-Su 06:00-21:00,,ngo_cbo
POINT (36.797731294037838 -1.318599734546917),612009022,yes,toilets,,,,,Mo-Su 06:00-21:00,,ngo_international
POINT (36.775338988950587 -1.315651434496502),2429045888,,toilets,,Revival center,operational,,,,
POINT (36.775997723548429 -1.316488802717029),2429045905,,toilets,,Soweto academy,operational,,,,
POINT (36.776469428904122 -1.31655579934714),5389539897,,toilets,public toilet,,non-operational,Ksh 5 per visit,,,unknown
POINT (36.77655036711122 -1.316530563351296),2105336478,,toilets,Public toilet,,operational,ksh 5 per visit,,,ngo_self_help
POINT (36.776691312779299 -1.316331998264696),2429045902,,toilets,,,operational,,,,
POINT (36.776066265004616 -1.316238328704555),2429045899,,toilets,,,non-operational,,,,
POINT (36.776169391599232 -1.316232850427212),2429045898,,toilets,,,operational,,,,
POINT (36.776460355919752 -1.316145916450502),2429045896,,toilets,,,operational,,,,
POINT (36.775269100021482 -1.315501455388286),2429045881,,toilets,,pee poo,operational,,,,
POINT (36.775222477458243 -1.315362522637486),2429045876,,toilets,,Celtic charity volunteers,operational,,,,
POINT (36.775229843643565 -1.315321480446529),769074946,yes,toilets,MK Area KR Donated By UNICEF,,operational,2shper visit,06:00-21:00,,ngo_cbo
POINT (36.775128423847995 -1.314995657514937),2429045845,,toilets,Gethesemane pentecostal church,,operational,,,,
POINT (36.775251493041921 -1.314590803603528),2429045861,,toilets,,,non-operational,,,,
POINT (36.775256164281394 -1.314353710776665),2429045859,,toilets,,,non-operational,,,,
POINT (36.775210799359549 -1.314315722037535),2429045857,,toilets,,,non-operational,,,,
POINT (36.775914809047713 -1.315502533082511),2429045882,,toilets,,,operational,,,,
POINT (36.776094112778416 -1.315385782872317),2429045879,,toilets,,,operational,,,,
POINT (36.776515961635845 -1.315476578613181),2429045883,,toilets,,,operational,,,,
POINT (36.776069768434219 -1.315266697652293),2429045874,,toilets,,,non-operational,,,,
POINT (36.776154479565513 -1.315123992958062),2429045868,,toilets,,,operational,,,,
POINT (36.776456672827088 -1.315173028052153),2429045869,,toilets,,,non-operational,,,,
POINT (36.775480204113251 -1.314594036687373),2429045848,,toilets,New beginings school,,operational,,,,
POINT (36.775696248939084 -1.314643341215537),2429045863,,toilets,,,non-operational,,,,
POINT (36.775396660791834 -1.314371582547356),612009517,,toilets,,,operational,,,,
POINT (36.775857227038003 -1.314442440973604),2105336476,,toilets,Private toilet,,non-operational,,,,private
POINT (36.775882379865955 -1.314331707842719),2105336484,,toilets,,,operational,,07:00-19:00,,faith_based_organization
POINT (36.77658019117866 -1.314772125716166),2429045866,,toilets,,,,,,,
POINT (36.776511290396364 -1.314657800284617),2429045864,,toilets,,,operational,,,,
POINT (36.776720597857569 -1.314692376319068),941480224,yes,toilets,,,operational,100sh per month,,,ngo_cbo
POINT (36.77624511957768 -1.314351285963542),2429045858,,toilets,,Senye medical clinic,operational,,,,
POINT (36.774488464039592 -1.31355621655749),769112503,yes,toilets,CDF/LCD Community Public Toilet,,operational,5sh per visit,06:00-20:00,,local_authority through CDF funding
POINT (36.774932411453001 -1.313562862343697),2438886461,,toilets,,,non-operational,,,,
POINT (36.774928997854921 -1.313539063244357),2438886447,,toilets,,,non-operational,,,,
POINT (36.774831261152009 -1.313210994881858),2438886386,,toilets,,,non-operational,,,,
POINT (36.775043802548225 -1.313520023964711),2438886440,,toilets,,,operational,,,,
POINT (36.77468285946707 -1.31298988773783),2444298685,,toilets,,,operational,,,,
POINT (36.775091143763696 -1.313169234192059),2438886389,,toilets,,,operational,,,,
POINT (36.775635343162818 -1.314193044450513),2429045847,,toilets,,nesco centre,operational,,,,
POINT (36.775564555918436 -1.314043514294193),2429045853,,toilets,,,non-operational,,,,
POINT (36.775908700503777 -1.313984600308231),2438886484,,toilets,,,operational,,,,
POINT (36.775522514763139 -1.313553612127758),2438886454,,toilets,,,operational,,,,
POINT (36.77556877800027 -1.313598785512122),2438886475,,toilets,,,operational,,,,
POINT (36.7755480269172 -1.313579476809152),2438886468,,toilets,,,non-operational,,,,
POINT (36.775819048638425 -1.31381028315562),2438886487,,toilets,,,operational,,,,
POINT (36.776112528241747 -1.314125508909545),2429045855,,toilets,,Community,non-operational,,,,
POINT (36.776162474571542 -1.314036239853936),941480263,yes,toilets,Soweto Beautyfire Self-Help Group,,operational,2sh per visit,06:00-19:00,,ngo_cbo
POINT (36.776529166870525 -1.314179483457739),2429056298,,toilets,,,non-operational,,,,
POINT (36.776711524873193 -1.314188913287158),2429056299,,toilets,,,operational,,,,
POINT (36.776251587447732 -1.313850696716051),1367601153,,toilets,WASUP (Soweto west nursery and primary school),,operational,,Mo-Fr 08:30-16:00,,other
POINT (36.776346000384088 -1.313876112354827),2429056293,,toilets,,,operational,,,,
POINT (36.776387412718691 -1.31378387962913),2433443632,,toilets,,Joseph makori,operational,,,,
POINT (36.776388760191615 -1.313636055798794),2433443626,,toilets,,Eunice adhiambo,operational,,,,
POINT (36.77671439948211 -1.31369380229005),2433443629,,toilets,,,non-operational,,,,
POINT (36.775663190936626 -1.312957736494288),769107556,yes,toilets,Constant Gardener Community Public Toilet,,operational,5sh per visit,06:00-20:00,,ngo_cbo
POINT (36.775815455377284 -1.313092987253404),2438933732,,toilets,,Okinda,,,,,
POINT (36.775978230106766 -1.312889123224592),2438933729,,toilets,,,non-operational,,,,
POINT (36.776053329264521 -1.313057782541253),2438933730,,toilets,,,operational,,,,
POINT (36.776506349662306 -1.313182076726843),2433443612,,toilets,,Samwel,operational,,,,
POINT (36.778704527162546 -1.317680731771023),769158962,private,toilets,,,bad,,06:00-20:00,,private
POINT (36.779084424696194 -1.317854779229849),612006939,private,toilets,Community Toilets and Dumping site,,bad,,08:00-21:00,,private
POINT (36.779028549485531 -1.317726982773901),612007542,private,toilets,,,bad,,06:00-20:00,,private
POINT (36.778650807908555 -1.317594246883723),769158961,private,toilets,,,operational,,09:00-22:00,,private
POINT (36.778572295152721 -1.317195500323945),769158963,private,toilets,,,non-operational,,09:00-21:00,,private
POINT (36.776926491720687 -1.316635458876864),769158970,yes,toilets,,,operational,2 shillings per head,05:00-08:00,,private
POINT (36.777309443526306 -1.316175193802504),2433443723,,toilets,,Stephen juma,non-operational,,,,
POINT (36.777371966270074 -1.316003032190907),2433443694,,toilets,,Mwangii/mdogo kitanzi,operational,,,,
POINT (36.776866663922767 -1.315952739803437),2429045895,,toilets,,,non-operational,,,,
POINT (36.776777461215055 -1.315833474994792),2429045893,,toilets,,,operational,,,,
POINT (36.776849595932369 -1.315784978760733),2429045891,,toilets,,,operational,,,,
POINT (36.777625650506316 -1.316082152891297),2433443713,,toilets,,Christine khalibwa,operational,,,,
POINT (36.777811961096241 -1.316109634087432),2433443708,,toilets,,Kennedy makori,non-operational,,,,
POINT (36.777899187510329 -1.316011833358617),2433443699,,toilets,,Albert omwando,operational,,,,
POINT (36.778018124453951 -1.316046229758622),2433443703,,toilets,,Amina abdallah,operational,,,,
POINT (36.778693118558436 -1.316936315025879),2433443753,,toilets,,Jepter ogeto,,,,,
POINT (36.778489560315059 -1.316687996445796),2433443750,,toilets,,Paul nyamweya,operational,,,,
POINT (36.77834169761929 -1.316462219603242),2433443741,,toilets,,George abai,non-operational,,,,
POINT (36.778530613323539 -1.316537478553029),2433443746,,toilets,,Rainbal,operational,,,,
POINT (36.778578763022765 -1.316404922215124),941480184,private,toilets,,,non-operational,,24/7,,
POINT (36.778783219581427 -1.316338105196584),2452591056,,toilets,,,non-operational,,,,
POINT (36.779379072109393 -1.316676501046194),2452557821,,toilets,,Rose,non-operational,,,,
POINT (36.77895928937712 -1.316628184444151),2452557820,,toilets,,Samwel,non-operational,,,,
POINT (36.77882966248162 -1.316466260955011),948042738,yes,toilets,Nyaharwa,,operational,,,,
POINT (36.779120267476031 -1.316371244282613),2452591121,,toilets,,Lyahuka center,operational,,,,
POINT (36.779421203096213 -1.316422434739835),2452557819,,toilets,,Abubakar,operational,,,,
POINT (36.778345650206532 -1.316289249741049),2433443733,,toilets,,Julius,operational,,,,
POINT (36.778447429328232 -1.316233748505464),2433443729,,toilets,,Roseline adhiambo,operational,,,,
POINT (36.778280612179969 -1.316085296165374),2433443718,,toilets,,Leah wamboi,operational,,,,
POINT (36.778600861578759 -1.315971419833184),2452591011,,toilets,,,non-operational,,,,
POINT (36.778332444971859 -1.315874517177328),2433443689,,toilets,,Okebiro,non-operational,,,,
POINT (36.778292829267833 -1.315686998403477),2433443684,,toilets,,Nazarene church,operational,,,,
POINT (36.778970967475814 -1.316213900975935),2452557817,,toilets,,Mwanyagetinge(cbo),operational,,,,
POINT (36.779030346116095 -1.316076674613599),2452591029,,toilets,,,non-operational,,,,
POINT (36.77903816145907 -1.315984352161388),2452557812,,toilets,,Jane,operational,,,,
POINT (36.779117842024768 -1.315983184659545),2452557811,,toilets,,Mama faith,operational,,,,
POINT (36.779292115189882 -1.31622288175855),2452557818,,toilets,,Stephen kikumu,operational,,,,
