WKT,osm_id,access,amenity,man_made,name,operator,operational_status,watsan:cost,watsan:location,watsan:type,watsan:water_private,watsan:water_public,opening_hours,operator:type
POINT (36.778332085645751 -1.31882551119575),769158966,private,drinking_water,,,,,2 shillings per gerican,,,yes,,,private
POINT (36.778356879147587 -1.318618414556831),941480154,private,drinking_water,,,,operational,KShs 5,,,yes,,08:00-21:00,local_authority
POINT (36.779382575538996 -1.318858560440956),941480060,private,drinking_water,water_tower,,,operational,,,,yes,,06:00-20:00,private
POINT (36.794130217558383 -1.318593178581877),941480150,yes,drinking_water,,,,operational,,,,,yes,Mo-Su 06:00-21:00,ngo_cbo
POINT (36.79472714806468 -1.319406746770244),941480287,yes,drinking_water,,,,operational,,,,,yes,Mo-Su 06:00-21:00,ngo_cbo
POINT (36.794957386272003 -1.31859461550572),941480400,yes,drinking_water,,,,operational,,,,,yes,Mo-Su 06:00-21:00,ngo_cbo
POINT (36.795837106429744 -1.318640507260672),941480379,yes,drinking_water,,,,operational,,,,,yes,Mo-Su 06:00-21:00,ngo_cbo
POINT (36.796060697103961 -1.318597219930197),612009195,yes,drinking_water,,,,operational,Ksh.3,,,,yes,Mo-Su 06:00-21:00,private
POINT (36.796114955347122 -1.318566595490544),941480237,yes,drinking_water,,,,operational,Ksh.3,,,,yes,Mo-Su 06:00-21:00,ngo_cbo
POINT (36.797655116901744 -1.318612936284717),612009023,yes,drinking_water,,,,operational,Ksh.3,,,,yes,Mo-Su 06:00-21:00,private
POINT (36.797731294037838 -1.318600453008852),941480118,yes,drinking_water,,,,,,,,,yes,Mo-Su 06:00-21:00,ngo_international
POINT (36.797831007034375 -1.318615899940124),612008633,yes,drinking_water,,,,operational,Ksh.3,,,,yes,Mo-Su 06:00-21:00,private
POINT (36.797917424964709 -1.318382759036953),612009021,yes,drinking_water,,,,operational,Ksh.2,,,,yes,Mo-Su 06:00-21:00,private
POINT (36.775350846712342 -1.315666342598976),2429045849,,drinking_water,,Revival centre,,,,,,,,,
POINT (36.776267757122845 -1.316450005740052),2429045904,,drinking_water,,,,,,,,,,,
POINT (36.775564376255375 -1.315919061864819),2105336479,,drinking_water,,Water Tank,,operational,ksh 5 per 20litre can,,,,yes,08:00-17:00,ngo_cbo
POINT (36.775537516628383 -1.315857543495791),2429045892,,drinking_water,,,,,,,,,,,
POINT (36.776462152550323 -1.316281256844735),2429045901,,drinking_water,,,,,,,,,,,
POINT (36.775328388830232 -1.31544442740166),2429045880,,drinking_water,,,,,,,,,,,
POINT (36.775302158023948 -1.315290855966609),2429045875,,drinking_water,,,,,,,,,,,
POINT (36.775071111332863 -1.315041998375495),2429045846,,drinking_water,,Gethesemane pentecostal church,,,,,,,,,
POINT (36.775243048878245 -1.314956680898997),2429045850,,drinking_water,,St catherine children centre,,,,,,,,,
POINT (36.775832074210044 -1.315362792061039),2429045877,,drinking_water,,,,,,,,,,,
POINT (36.775858125353281 -1.315271008429587),2429045872,,drinking_water,,,,,,,,,,,
POINT (36.775911215786572 -1.315175542672333),2429045870,,drinking_water,,,,,,,,,,,
POINT (36.776135884439135 -1.31548654728482),2429045884,,drinking_water,,,,,,,,,,,
POINT (36.776278177580139 -1.315282863067103),2429045873,,drinking_water,,,,,,,,,,,
POINT (36.775479754955612 -1.314822238511682),2429045851,,drinking_water,,Ushirika,,,,,,,,,
