WKT,osm_id,amenity,name
POINT (36.885253523348901 -1.259488576411629),3723143857,school,AIPCA primary
POINT (36.886065780028808 -1.256825534115841),3723146939,school,makao primary
POINT (36.886062995251429 -1.25603421881859),3723143914,school,jambo toto primary
POINT (36.886532993808075 -1.254945093400115),1736275875,school,Kisumu Ndogo NFECK School
POINT (36.886879653676218 -1.254638302485424),5520034968,school,BigPen Academy
POINT (36.887007663604201 -1.254704582258686),1736275928,school,napenda kuishi Rehabilitation center/School
POINT (36.887133697238568 -1.254609293857851),3723143909,school,hope and care primary
POINT (36.887969489778911 -1.253393356080137),3723146943,school,missions of hope primary
POINT (36.887715266553506 -1.252721936174497),3723143885,school,damascus nursery and SHG school
POINT (36.887959248984671 -1.252647214205391),3723143874,school,bestan children centre
POINT (36.888461766554606 -1.253814205869013),3723143888,school,destiny primary
POINT (36.888848221789836 -1.253541183393116),3723147503,school,rehema children home/rescue centre
POINT (36.887982515350529 -1.252807255727961),1736275869,school,Hands Of Hope Child care centre
POINT (36.890562746341111 -1.252714392129638),3723146937,school,madrasa school
POINT (36.886720651870924 -1.252404188170941),3723143886,school,daniel comboni primary
POINT (36.887259551209873 -1.251849880368739),1736275941,school,St Clares Primary School
POINT (36.887578363304208 -1.252302702791422),3723147509,school,st.francis of asisi sec
POINT (36.887342196216011 -1.251904844141777),3723147508,school,St. Clares Secondary
POINT (36.887027157045871 -1.251433790199756),3723143887,school,day shelter centre
POINT (36.887050692906314 -1.251374425721759),1736275924,school,super action Rehabilitation center
POINT (36.887206011618936 -1.251096194005089),3723143918,school,kazi barasa baby care
POINT (36.887729998924158 -1.251708878527366),3723143919,school,kenya foundation nursery school
POINT (36.888804384003969 -1.251824553923899),3723147504,school,rehema daycare school
POINT (36.888214729851477 -1.250658908526353),3723143878,school,bora afya school
POINT (36.888811929852359 -1.249802299381927),3723143880,school,caretakers primary
POINT (36.889614664390251 -1.251615116789177),1736275871,school,KBNFE School
POINT (36.890048011683305 -1.251103019573702),3723146945,school,mosque madrasa school
POINT (36.891074247063884 -1.251624457039113),1431696789,school,Altaawon Education Center
POINT (36.890023847002162 -1.250301913241691),3723143900,school,haven primary
POINT (36.890119427748395 -1.250165401824423),3723143895,school,good neighbours school
POINT (36.89157990873732 -1.250144206630035),1732933799,kindergarten,Huduma Children Center
POINT (36.891925849953225 -1.250308738812378),1732933796,school,Highridge Faith Based Education Center
POINT (36.887855224074762 -1.249522810156287),1736275868,school,Grogan A Non-formal Educational center
POINT (36.890528161202667 -1.249654292237854),1736275870,school,KAO La Tumaini Educational Centre
POINT (36.891164527749936 -1.248759603244066),3723143899,school,great hope network centre
POINT (36.890273758314208 -1.248110185655777),3723146940,school,maranatha primary
POINT (36.89168069971219 -1.247643352114035),1732933838,school,Ngunyumu Primary School
POINT (36.892150608437319 -1.252069645643936),3723143872,school,anglican chuch primary
POINT (36.89281266680171 -1.25147905449072),1732933810,school,Korogocho Glory Primary/Secondary School
POINT (36.892517390567818 -1.25092384839175),3723143901,school,highridge baptist boarding primary
POINT (36.892453610182649 -1.249999432670695),3723143896,school,grace given and transformation center primary school
POINT (36.892093206090657 -1.249001551893797),1771262812,school,St. John Informal School
POINT (36.893954695022408 -1.246246802644158),1732933828,school,New Starlight Academy
POINT (36.894481377273493 -1.246126636487958),1732933843,school,Primary Chirld Care Center
POINT (36.894835942316135 -1.244381262865969),1732933774,school,Alfa And Omega Primary School
POINT (36.894965748874689 -1.24618564184338),3723147510,school,tartola child rescue and educational centre
POINT (36.895482549657643 -1.245352022681366),3723143870,school,alliance vision high school
POINT (36.895516865301495 -1.245176712951161),1732933794,school,Faith Intergarted Center School
POINT (36.893428192434392 -1.243394785877503),2405836246,school,High vision high school
POINT (36.893096983589132 -1.242991178015741),2405836224,school,De-ann academy
POINT (36.893470053926627 -1.243377632095581),2405798448,school,Sinai non-formal school
POINT (36.893771528535979 -1.242629152308889),2405798440,school,Gracious lucky school centre
POINT (36.893754819871695 -1.242514913474697),2405836243,school,Gracious academy
POINT (36.893828571556519 -1.241640698836279),2405798450,school,Tiba junior academy
POINT (36.893451189305672 -1.241149345895843),2405836319,school,de-ann academy
POINT (36.894267488404338 -1.241419585533857),2405836316,school,Tiba juniour academy
