WKT,osm_id,amenity,name,operator
POINT (36.886047184902424 -1.256547752028245),1736275847,hospital,Amana Medical Clinic,
POINT (36.887241495072658 -1.254545438952047),3723146927,hospital,lema dispensing chemist,
POINT (36.88855635915403 -1.25012022732095),1736275913,hospital,Provide International Health Center,
POINT (36.890962766137129 -1.25174228788155),1431696796,hospital,Crescent Medical Aid Kenya,
POINT (36.891818591108304 -1.251074549767664),1732933853,hospital,Tumaini Medical Centre,
POINT (36.889936710419605 -1.25028520855549),1736275948,hospital,Vission People In mission Medical Centre,
POINT (36.891331973718898 -1.249264426292379),3723143890,hospital,empire clinic,
POINT (36.891391981179879 -1.249180723206928),1732933775,hospital,Bazari Medical Center,
POINT (36.891298825884917 -1.247500913083077),3723143910,hospital,hospace clinic centre,korogocho health programme
POINT (36.889823612525333 -1.244404074692918),2405798453,hospital,babadogo health centre,
POINT (36.892802785333586 -1.24708149924599),1732933776,hospital,Bidii Nursing Home,
POINT (36.89262599688567 -1.246600295879053),1732933877,pharmacy,,
POINT (36.892293799893601 -1.246094304785799),3723146925,hospital,legacy dispensing chemist,
POINT (36.893411124443993 -1.241952879893005),2405798446,hospital,Kemrif hospital,
POINT (36.893457657175709 -1.241954855722362),2405836256,hospital,Kemrif,
POINT (36.895520817888752 -1.241655337937285),2405836284,pharmacy,Powa,
