WKT,osm_id,amenity,denomination,name,religion
POINT (36.884045828280932 -1.259740762388525),3723143883,place_of_worship,,christ ministry church,christian
POINT (36.884908210953689 -1.259115955420342),3723143856,place_of_worship,,AIPCA church,christian
POINT (36.886111144950647 -1.256712283808247),3723146938,place_of_worship,,makao church,christian
POINT (36.885607998560019 -1.25559585644489),3723147516,place_of_worship,,vision and hope revival centre,christian
POINT (36.886008198019091 -1.255707220791824),3723143916,place_of_worship,,jesus worship centre,christian
POINT (36.887122827623628 -1.255060499223762),3723147501,place_of_worship,,pentecostal assembly of god,christian
POINT (36.887663343930079 -1.252686012151165),1736275859,place_of_worship,pentecostal,Damascus Assemblys Church,christian
POINT (36.887925292666935 -1.252608416259043),1736275910,place_of_worship,pentecostal,Overcomers Lifeseekers Church,christian
POINT (36.889287408132247 -1.253808817267804),3723143855,place_of_worship,,ADC upendo assemblies,christian
POINT (36.889407153559617 -1.254141383752483),3723143882,place_of_worship,,christ divine church,christian
POINT (36.889426826664341 -1.253091953586266),3723143859,place_of_worship,,God ways faith centre,christian
POINT (36.889499141044702 -1.252904340395423),3723146928,place_of_worship,,life of hope foundation centre,christian
POINT (36.890528520528783 -1.252667511278946),3723147350,place_of_worship,,,muslim
POINT (36.887333213063165 -1.251800125579728),3726414970,place_of_worship,,St Clares catholic church,christian
POINT (36.88767376438738 -1.251746419145741),3723143920,place_of_worship,,kenya foundation of the prophet,christian
POINT (36.888192271969366 -1.252405176081695),3723147517,place_of_worship,,wakonino church,christian
POINT (36.888786507529815 -1.25187323099141),1736275930,place_of_worship,pentecostal,Rehema Church/Day care,christian
POINT (36.888888017156923 -1.251268090556575),4748428082,place_of_worship,,israel church of africa,christian
POINT (36.887432746396648 -1.250193153159164),1736275906,place_of_worship,shia,Mosque,muslim
POINT (36.888045307588889 -1.250881727445458),3723143891,place_of_worship,,faith of hope centre,christian
POINT (36.888256501512188 -1.25043213794235),1736275854,place_of_worship,pentecostal,tumaini Church,christian
POINT (36.88886340331814 -1.25080035947477),3723143915,place_of_worship,,jesus upliftance ministry,christian
POINT (36.891961513070008 -1.252216754551009),3723143913,place_of_worship,,israel church of africa,christian
POINT (36.891736485091336 -1.251674301641556),3723147513,place_of_worship,,upendo ministry fellowship,christian
POINT (36.891959267281798 -1.251256505052672),1732933851,place_of_worship,pentecostal,Tumaini Church,christian
POINT (36.890018097784342 -1.250225754241353),1771244221,place_of_worship,pentecostal,Vission People in Mission Church,christian
POINT (36.890489982803096 -1.250285028935204),1732933816,place_of_worship,pentecostal,Legio Maria Church,christian
POINT (36.890610806208805 -1.249819632742317),3723143854,place_of_worship,,ACK st prisca church,christian
POINT (36.891620422756624 -1.250852808586408),3723147507,place_of_worship,,seventh day adventist,christian
POINT (36.890756423116365 -1.250341878753963),3723146926,place_of_worship,,legio maria church,christian
POINT (36.891218965656151 -1.249803017863199),1771244220,place_of_worship,pentecostal,Calvery Worship Center,christian
POINT (36.887629028286227 -1.249692641177079),1736275914,place_of_worship,pentecostal,Redeemed Gospel Church,christian
POINT (36.888772493811388 -1.248110275466003),1828386594,place_of_worship,,Grogan B Holy Church,christian
POINT (36.889618616977494 -1.249032536407468),3723143863,place_of_worship,,PCEA,christian
POINT (36.890629491166713 -1.249200301825877),3723147165,place_of_worship,,,christian
