WKT,osm_id,amenity,building,name,operator
POINT (36.886042962820589 -1.256496380749834),1736275972,drinking_water,,Water Tank,
POINT (36.88635009681623 -1.255583283050589),1736275969,drinking_water,,Water Tank,
POINT (36.887398790078912 -1.25432423692454),1736275965,drinking_water,,Water Tank,
POINT (36.889149696399187 -1.251829583288848),1736275959,drinking_water,,Water Tank,
POINT (36.887260898682797 -1.250247398485776),1736275954,drinking_water,,Water Tank,
POINT (36.891271876426394 -1.250522935988442),1793143598,drinking_water,yes,,
POINT (36.891995020230105 -1.250933727504873),1793143599,drinking_water,,Samaki Lane,
POINT (36.891871052720894 -1.250413996294775),1732933845,drinking_water,,HDG Water Tank,
POINT (36.890815083104414 -1.250122023523876),1793143565,drinking_water,,Maitu,
POINT (36.891480105909245 -1.250038320465765),1732933805,community_centre;drinking_water,,Jungle African Resource Center;Water Tank,NGO
POINT (36.892036971553871 -1.249468115763864),1793143569,drinking_water,,,
POINT (36.889837895738353 -1.247217741392677),1771249971,drinking_water,,Inspiration,
POINT (36.891129493453853 -1.247294618962135),1803598717,drinking_water,,Uwezo,
POINT (36.889847956869531 -1.246072660507204),2405798480,drinking_water,,water point,
POINT (36.892425942071895 -1.250931302631651),1793143532,drinking_water,,,
POINT (36.892510653203189 -1.245712251808613),1732933800,drinking_water,,Hutang Water Tank,
POINT (36.896039594965323 -1.243877875847203),1732933844,drinking_water,,Public Water Point,
