WKT,osm_id,amenity,area,barrier,leisure,name,operator:type
POINT (36.846175011859138 -1.266176885114225),6445129690,school,,gate,,Destiny Community School,cbo
POINT (36.847913970586134 -1.266424939201174),6445077914,school,,gate,playground,St Teresas Primary School,government
POINT (36.843436228220916 -1.2658061510834),1110239839,school,,,,St.Mary Community Center,
POINT (36.843978990315577 -1.265829950629112),6445138085,school,,gate,,Community Care School,religious
POINT (36.845066850124645 -1.265740590069517),1110239854,school,,,,Funzo junior school.,
POINT (36.845159466430438 -1.265302139520434),1110239856,school,,,,St Antonieta,
POINT (36.844745971905155 -1.265043936837536),6445111422,school,,,playground,Star Education Center,
POINT (36.84424740692247 -1.26412635165186),1110239860,school,,,,St. Phillips School,private
POINT (36.844938480870546 -1.264644822796445),1110239853,school,,,,Loving concern Education center,
POINT (36.845154974854019 -1.264407904936526),6445132395,school,,gate,playground,St Veronica Primary School,private
POINT (36.845132696634977 -1.263956252140678),1110239866,school,,,,Edie nursery,
POINT (36.845191985443719 -1.263955892901988),6445111424,school,,,,MECDO,community
POINT (36.845140601809476 -1.263835547940143),1101638764,kindergarten,,,,Edie nursery,
POINT (36.845537028344353 -1.265725951103189),6445111421,school,,,,JOY COMMUNITY SCHOOL,
POINT (36.845486004036218 -1.26557794486219),6445077915,school,,gate,,Eden Community School,cbo
POINT (36.846000918357078 -1.265700534983526),1110239861,school,,,,ST .paul primary school,community
POINT (36.846094971967318 -1.266172933492087),6445111416,school,,gate,playground,Jorum E Center,private
POINT (36.845723967754985 -1.264905899427472),6445111417,school,,gate,,Blessed Junior Academy,cbo
POINT (36.845451508729305 -1.264282261225707),1110239838,school,,,,Harvest mission,
POINT (36.84632395253324 -1.26364191827338),6445111414,school,,gate,playground,St. Teresas Girls Secondary School,government
POINT (36.850221023898811 -1.265277890921748),6445137985,school,,,,Amaizing Day Care,
POINT (36.85073405175757 -1.265322885543569),4461458486,school,,,,Neci Education Centre,community
POINT (36.84954171788096 -1.264604408454933),6445111420,school,,gate,playground,Mum's Care Academy,religious
POINT (36.850310316438048 -1.264633416971225),6445111413,school,,,,Hope Nigeria,public
POINT (36.852036069930371 -1.265685985826571),4461458488,school,,,,Community Care Educational Organization,cbo
POINT (36.851738458076738 -1.265119736166935),4461519044,school,,,,Jorum Education Center,private
POINT (36.853020982807884 -1.265869915903516),6445077912,school,,,,Missions Of Hope BH,
POINT (36.852669112711091 -1.265255258896096),4454756893,school,,,,Missions Of Hope International (bondeni),cbo
POINT (36.852866472579016 -1.265109318249758),4454756897,school,,,,Valley View Academy,cbo
POINT (36.853125906033064 -1.265402007820803),4454756895,school,,,,Forward Academy,private
POINT (36.853113958439792 -1.265154941541926),6445111419,school,,gate,,Spring View Education Center,cbo
POINT (36.853685017465899 -1.26582788500818),6445111415,school,,,,Rosken Education Centre,
POINT (36.853683041172282 -1.265737087494768),4454756898,childcare,,,,Little treasure,
POINT (36.853885970594959 -1.265755947512652),6445111418,school,,,,Kiboro Primary School,
POINT (36.853701007477959 -1.265599588979276),4454756896,school,,,,Naioth Education Centre,religious
POINT (36.856084687084369 -1.265314533248559),4461458487,school,,gate,,St James Feeding and Learning Programme,private
POINT (36.854113064698787 -1.264394882536477),4454756894,school,,,,Destiny Junior Educational Centre,cbo
POINT (36.855977428239449 -1.263503341930665),4462937714,school,,,,Glorious Education Center,religious
POINT (36.856589091116405 -1.265498822590338),4461458485,school,,,,Codman Secondary School,cbo
POINT (36.857714500504343 -1.265459485977553),1038103774,school,,,,Inspiration Baby College,religious
POINT (36.857434315967232 -1.265295044560099),4457507291,school,,,,Codman Academy,cbo
POINT (36.858623146414239 -1.265615575090531),4465952472,school,,,,Mathare Community Outreach,
POINT (36.858770649783892 -1.265401289343843),4457763959,school,,,,Abundant Life School,cbo
