WKT,osm_id,amenity,denomination,name,religion
POINT (36.843990848077325 -1.265372819693843),1110239835,place_of_worship,protestant,Megah church ministry.,christian
POINT (36.844667548980851 -1.265591775542847),1110239852,place_of_worship,pentecostal,Mathare church of Nazarene,christian
POINT (36.844989595010212 -1.266133147841545),1110239867,place_of_worship,protestant,Redeemed gospel church.,christian
POINT (36.843287916367501 -1.264482087710765),1101638893,place_of_worship,protestant,Peniel Ministry Church,christian
POINT (36.844127481832039 -1.264778728976846),1110239859,place_of_worship,pentecostal,ACK mathare church,christian
POINT (36.844676442302166 -1.263969813400962),1110239851,place_of_worship,pentecostal,Mlango Kubwa Church,christian
POINT (36.844307683878036 -1.263765137153889),1101638782,place_of_worship,pentecostal,Independent Church,christian
POINT (36.845542597899112 -1.264963557214483),1110239863,place_of_worship,protestant,Apostolic Great Commission,christian
POINT (36.845413150666673 -1.264462778635352),1110239871,place_of_worship,pentecostal,PCEA mathare valley,christian
POINT (36.850596250192986 -1.265701882127676),1038091943,place_of_worship,pentecostal,EL-Shaddai Church,christian
POINT (36.849026623897039 -1.264376022508708),1038091925,place_of_worship,pentecostal,Hosanah Church,christian
POINT (36.849605318603075 -1.264563724683825),1038091911,place_of_worship,pentecostal,Redeemed Goslpel Church,christian
POINT (36.850685273237644 -1.264572256600559),1038091936,place_of_worship,catholic,ST Marks Mathare Church,christian
POINT (36.85041434134795 -1.264332824063617),1100018989,place_of_worship,methodist,African Christian Church,christian
POINT (36.851416501878916 -1.265635782253482),1038193562,place_of_worship,protestant,christ the way church,christian
POINT (36.851976152300921 -1.265849349503962),1038193547,place_of_worship,pentecostal,LIVES CHANGING CENTER,christian
POINT (36.852408691110227 -1.264348361134379),1038193542,place_of_worship,pentecostal,Heritage worship church,christian
POINT (36.853430165419802 -1.264289535808135),1038193544,place_of_worship,evangelical,Christ the arrow of deliverance church,christian
POINT (36.855809353449793 -1.265372280836114),1038193541,place_of_worship,catholic,St. Teresa's,christian
POINT (36.855784559947949 -1.263666526126073),1038064494,place_of_worship,pentecostal,sinai church of God,christian
POINT (36.855941046470441 -1.263546720008917),1038064497,place_of_worship,pentecostal,A.I.P.C.A -4B Church,christian
POINT (36.856089807481489 -1.263571597291563),1038064493,place_of_worship,pentecostal,Glorious celebration centre,christian
POINT (36.858832903033075 -1.26537686112683),1038103773,place_of_worship,evangelical,JESUS IS THE WAY,christian
POINT (36.85746620615982 -1.263655748964342),1038064487,place_of_worship,pentecostal,Good will ministries church,christian
POINT (36.859492805440794 -1.264741098736368),1038103817,place_of_worship,evangelical,Jerusalem,christian
POINT (36.849199459757706 -1.262882577302742),1110245209,place_of_worship,pentecostal,African church,christian
POINT (36.851351194357761 -1.262845485893047),1038189727,place_of_worship,pentecostal,Revelation Truth,christian
POINT (36.850945874501562 -1.262639462411673),1038189750,place_of_worship,pentecostal,St. Veronica,christian
POINT (36.851449200555258 -1.262662723128128),1038189742,place_of_worship,pentecostal,P.C.E.A. Church,christian
POINT (36.853568056815909 -1.263310340906997),1110199093,place_of_worship,pentecostal,Neema worship centre,christian
POINT (36.853531585215379 -1.262935475220237),1038189733,place_of_worship,pentecostal,Church of God,christian
POINT (36.854638219813879 -1.263104946130371),1110199090,place_of_worship,protestant,Twelve Brothers,christian
POINT (36.854831088105385 -1.263276123413626),1038189743,place_of_worship,pentecostal,Salvation Army,christian
POINT (36.855116572702677 -1.262669997715085),1038064492,place_of_worship,pentecostal,children of God generation church,christian
POINT (36.856182244124227 -1.261767230299181),1038202821,place_of_worship,,Hope of glory ministry belivers center,christian
POINT (36.855422269393856 -1.261247860482879),1038202841,place_of_worship,,Church,christian
POINT (36.85714928052758 -1.263075847787289),1102975989,place_of_worship,pentecostal,Roho israel church of God,christian
POINT (36.856883379203481 -1.262547587070109),1110227329,place_of_worship,protestant,Victory celebration sanctuary,christian
POINT (36.857371344065818 -1.262362758660557),1038202642,place_of_worship,,Roho israel church of God,christian
POINT (36.858929022768478 -1.262834618918189),1110227287,place_of_worship,protestant,Holy Ghost Church,christian
POINT (36.85801858022802 -1.262179097764374),1038202840,place_of_worship,pentecostal,church,christian
POINT (36.856558907722857 -1.261938946528966),1038202673,place_of_worship,,Mosque,muslim
POINT (36.85676462192292 -1.261817613566523),1038202707,place_of_worship,,church,christian
POINT (36.857513277880706 -1.261912811894304),1038202684,place_of_worship,pentecostal,Mowara israel church,christian
POINT (36.857509055798872 -1.261569918278469),1038202825,place_of_worship,pentecostal,Redeemed gospel church,christian
POINT (36.858912314104195 -1.261364433554599),1038202794,place_of_worship,pentecostal,St john evalasting gospel church,christian
POINT (36.861842888055577 -1.263354527275691),1103092319,place_of_worship,catholic,AIPCA Church,christian
POINT (36.86155937975191 -1.263103329555759),1103092426,place_of_worship,pentecostal,Faith Assembly and Nursery School,christian
POINT (36.861535125239236 -1.262610453873092),1103092322,place_of_worship,pentecostal,Maranatha Church,christian
POINT (36.859248643346575 -1.261030341224155),1038202668,place_of_worship,,Apostolic fellowship church,christian
POINT (36.862180295276296 -1.263132427898535),1103092361,place_of_worship,pentecostal,God's Time Miracle Center,christian
POINT (36.862427781137072 -1.26288149958624),1103092478,place_of_worship,pentecostal,AIC Zion Church,christian
POINT (36.863683446241211 -1.262618895986521),1103092429,place_of_worship,pentecostal,Outreach Fellowship Church,christian
POINT (36.863517617239765 -1.262309052443841),1103092315,place_of_worship,pentecostal,AGAPE Church,christian
POINT (36.861957692748888 -1.261811596313606),1112902265,place_of_worship,protestant,Salvation Army,christian
POINT (36.862036385167784 -1.2611721508503),1103092382,place_of_worship,pentecostal,"A.D.C, Church",christian
POINT (36.86277192572242 -1.260197984124114),1103092198,place_of_worship,pentecostal,Gospel Tabernacle Church,christian
POINT (36.86320167975434 -1.258956632762835),1103092488,place_of_worship,presbyterian,Mabatini Praise Worship Church,christian
POINT (36.864284598829343 -1.259042580781652),1103092253,place_of_worship,pentecostal,Word Temple Church,christian
POINT (36.865343263391679 -1.262338689653863),1103092225,place_of_worship,evangelical,Internationale Evangelical Church,christian
POINT (36.865353863512027 -1.262194814467483),1103092275,place_of_worship,pentecostal,Christ Co. Fellowship Church,christian
POINT (36.865379285834571 -1.262125032304936),1103092243,place_of_worship,pentecostal,African Divine Church org. VCT,christian
POINT (36.865097843656059 -1.260809049936519),1103092292,place_of_worship,pentecostal,Friends Church,christian
POINT (36.8660047827669 -1.2611721508503),1101737211,place_of_worship,protestant,Redeemed Gospel Church,christian
POINT (36.866451065800057 -1.260683495861555),1101737162,place_of_worship,pentecostal,PAG Church,christian
