WKT,osm_id,amenity,name,operator,operational_status,watsan:cost,watsan:location,watsan:type,opening_hours,operator:type
POINT (36.843551122745751 -1.26430956336211),1101638862,toilets,,Sanitary toillet(no.105),,,,,,
POINT (36.843372088509625 -1.263648115141418),1101638928,toilets,,Sanitary toillet(no.112),,,,,,
POINT (36.844565051206942 -1.263728045756802),1101638807,toilets,,Sanitary toillet(no.113),,,,,,
POINT (36.845484656563286 -1.263885392309337),1101638828,toilets,,Sanitary toillet(no.110),,,,,,
POINT (36.849203592008017 -1.26387425590982),1038189711,toilets,,Public Toilet,,,,,,
POINT (36.849404365474015 -1.263782919469991),1038189721,toilets,,Public Toilet,,,,,,
POINT (36.849269618181403 -1.263547977344509),1110245188,toilets,,Muratas toilet,,,,,,
POINT (36.849295220166994 -1.263484930944839),1038189737,toilets,,Public Toilet,,,,,,
POINT (36.849723626725996 -1.264541092651952),1038091954,toilets,Mathare 123 CDF,Public Toilet,operational,750 per month,church,trench_toilet,24/7,cdf
POINT (36.850413353201141 -1.26455869534343),1038091940,toilets,124 Mathare,,non_operationa,500 per month,plot,trench_toilet,5:00-12:00,cdf
POINT (36.850052949109148 -1.263513490425218),1110245187,toilets,,CDF Toilet,,,,,,
POINT (36.850851192070621 -1.263695893891576),1204168035,toilets,Choo ya mzee,,operational,150 ksh per month,by_the_river,hanging_toilet,24/7,private
POINT (36.851055289303176 -1.264424160484095),1204168045,toilets,Wananchi,,operational,360 ksh per month,plot,asian_style,5:30-10:00,private
POINT (36.852552960544863 -1.264645990321862),1038193538,toilets,Heshima Self Help Group,,operational,free,public_community,asian_style,05:30-22:00,ngo_self_help
POINT (36.853452623301905 -1.2643449483674),1207178854,toilets,Juja Road self help group,,operational,5ksh,public_community,asian_style,05:00-22:00,private
POINT (36.852586557536476 -1.263624046146632),1038189724,toilets,,Private Toilet,,,,,,
POINT (36.852784456393572 -1.263486008661086),1038189722,toilets,,Public Toilet,,,,,,
POINT (36.854963409946734 -1.265080848596564),1207178860,toilets,Mathare Association,,operational,5 ksh,public_community,asian_style,05:00-22:30,ngo_cbo
POINT (36.857937821683983 -1.265210713321218),1038193578,toilets,Mathare Association,,operational,5,public_community,asian_style,04:00-24:00,ngo_cbo
POINT (36.856434670719068 -1.264572436219853),1207178822,toilets,Manoki,,operational,5 ksh,public_community,asian_style,06:30-21:00,ngo_cbo
POINT (36.857654493043377 -1.264626591438017),1038193554,toilets,Pentagon public toilet,,operational,5 Ksh,public_community,asian_style,06:00-21:00,cdf
POINT (36.856809447855596 -1.263813185330946),1038064482,toilets,Mcedo Community Toilet,MCEDO Community Toilets,operational,yes,public_community,asian_style,24/7,ngo_cbo
POINT (36.859862192685625 -1.264087823305269),1038103814,toilets,,Muoroto Toilet,non_operationa,5,public_community,asian_style,,
POINT (36.859901449063543 -1.263833212888584),1207074910,toilets,Out Reach OCC Primary School & MCO Secondary,,operational,,school,pit_latrine,07:00-18:00,private
POINT (36.860911155442885 -1.264009329655661),1207074888,toilets,Outreach Community church,,operational,,church,asian_style,06:00-18:00,private
POINT (36.849334027387272 -1.262750646838267),1110245192,toilets,,,,,,,,
POINT (36.850099571672395 -1.262993582099521),1110245196,toilets,,Toilet,,,,,,
POINT (36.850131282201929 -1.262718944009514),1110245185,toilets,,Toilet,,,,,,
POINT (36.85224789267437 -1.262867040223201),1038189736,toilets,,Public Toilet,,,,,,
POINT (36.85563211584423 -1.261934545851666),1204137038,toilets,,,operational,5ksh,by_the_river,hanging_toilet,24/7,private
POINT (36.855475629321738 -1.261548723176585),1204137108,toilets,,,operational,2ksh,by_the_river,hanging_toilet,24/7,private
POINT (36.855585672944045 -1.261379791023598),1204137122,toilets,,,operational,5ksh,public_community,asian_style,24/7,ngo_cbo
POINT (36.856691588890328 -1.262591234593478),1204137082,toilets,,,operational,2ksh,by_the_river,hanging_toilet,24/7,private
POINT (36.857040584378204 -1.262538516288419),1204137139,toilets,,,operational,,by_the_river,hanging_toilet,24/7,private
POINT (36.857179194426543 -1.262499987918279),1204137029,toilets,,,operational,5ksh,by_the_river,hanging_toilet,05:00-12:00,private
POINT (36.857603828061343 -1.262383684326625),1204137068,toilets,,,operational,,by_the_river,hanging_toilet,5:30-8:00,private
POINT (36.858386530168396 -1.263293007636134),1102975991,toilets,141 Community Toilet/Rotary International,Community Public Toilet,operational,5Ksh Daily 50Ksh Monthly,public_community,asian_style,"05:00-06:00,19:00-22:00",ngo_cbo
POINT (36.858069424873108 -1.262337881366334),1204137093,toilets,,,,,by_the_river,hanging_toilet,24/7,
POINT (36.858510497677607 -1.262465321365623),1038202696,toilets,Mathare 4b,Private toilets,operational,NONE,by_the_river,asian_style,24/7,other
POINT (36.856796152789393 -1.261704094046565),1038202663,toilets,MYTO,,operational,250 monthly,,,06:00-22:30,ngo_cbo
POINT (36.857625297796638 -1.261581234307369),1038202755,toilets,,,operational,,school,pit_latrine,06:00-22:30,private
POINT (36.857871975173659 -1.261809081640743),1205477307,toilets,M-area,,operational,free,public_community,asian_style,05:00-22:00,ngo_national
POINT (36.858949863683065 -1.261305159111999),1207138030,toilets,Public Toilet,,operational,250 per month,,,06:00-22:00,private
POINT (36.858992803153654 -1.261302015770316),1205477317,toilets,K-area,,operational,free,public_community,asian_style,07:00-20:00,community
POINT (36.858591615547766 -1.260754535399718),1207138003,toilets,public Toilet,,operational,,public_community,pit_latrine,06:00-21:00,private
POINT (36.85860895303275 -1.26074178241069),1205477312,toilets,Baghdad,,operational,50 ksh per month,public_community,pit_latrine,06:00-22:00,private
POINT (36.859677229568625 -1.263369076445725),1038103778,toilets,Sokomoko,Sokomoko Toilet,non_operationa,0,public_community,asian_style,,cdf
POINT (36.859478881553891 -1.262376589358313),1204089855,toilets,,,operational,none,public_community,hanging_toilet,5:00-9:00,private
POINT (36.859787812180095 -1.26223936009409),1038202827,toilets,,,operational,5 ksh,public_community,asian_style,4:30-11:30,private
