WKT,osm_id,amenity,name,operator
POINT (36.847875612523502 -1.31333959984048),1499916399,community_centre,CHW office,
POINT (36.84134135697834 -1.310714153445956),1500016688,community_centre,CHW office,
POINT (36.839135094640547 -1.309860348416866),1500016685,community_centre,CHW office,
POINT (36.840576082187802 -1.309000615763233),2001079026,community_centre,Hopes joy community centre,
POINT (36.841197087543719 -1.308079813295116),1483304305,community_centre,Upendo rescue centre,
POINT (36.843330406680437 -1.311993827651942),1483304310,community_centre,communityoffice,
POINT (36.842808844826486 -1.310942984280486),2001079017,community_centre,Bless kenya people's organisation,
POINT (36.844292951507377 -1.310184016624553),2001001154,community_centre,Okoa Mtoto initiative,
POINT (36.847510806686621 -1.311970118345639),1999910118,community_centre,Gym,
POINT (36.847806891404268 -1.311989427061013),1999910125,community_centre,Kayaba youth resource centre,
POINT (36.835968712927077 -1.306582531899964),1500016679,community_centre,CHW office,
POINT (36.838260944037572 -1.306055447683917),1483304304,townhall,Social Hall,
POINT (36.848945955184533 -1.314941682984402),1453972987,community_centre,community children education project,Goal Kenya
POINT (36.849120408012702 -1.31502017506335),1453972990,community_centre,hazina pamoja self help group,youth group
POINT (36.868604507199144 -1.311130323794293),949597996,community_centre,Riverside Youth Group,
POINT (36.86908824997964 -1.310991211184475),1446059180,community_centre,International agency,
POINT (36.869269709667037 -1.310997587553452),949598064,community_centre,Vineyard Women Group,
POINT (36.869276447031673 -1.310981332302909),949597429,community_centre,Donholm Self Women Group,
POINT (36.879454808358382 -1.313974990862216),949597430,community_centre,Railway Hawkers Self-Help Group,
POINT (36.872880667614609 -1.311483179436813),1999709960,community_centre,wajukuu social hall 2,
POINT (36.873188071104835 -1.311423906158525),1999709937,community_centre,mukuru talented development(MTD),
POINT (36.874555845956436 -1.310579082174319),949597463,community_centre,Viwandani Community Development Association (Vicda),
POINT (36.877103198607614 -1.310552049957509),1446059175,community_centre,Jamaica youth group,
POINT (36.880378456133514 -1.309159306645027),949598232,community_centre,Cana Childrens Home,
POINT (36.882379453428889 -1.307236335306117),949597682,community_centre,Vicda (Viwandani Community Development Association),
POINT (36.882424998013796 -1.306844412515496),5704456205,community_centre,sinai reli,
