WKT,osm_id,amenity,name,watsan:type
POINT (36.875171012263003 -1.319730593355587),1437347906,kindergarten,Pure heart baby care,
POINT (36.875518211120315 -1.319465750435761),1432508029,school,New Dawn Community,
POINT (36.875667511120533 -1.319044282821607),949597371,school,New Dawn Community,
POINT (36.836688892290361 -1.309232859461189),3856033701,school,PCEA School,
POINT (36.837070945780695 -1.30930901670936),3856033702,school,Rary Health Children Daycare,
POINT (36.836653857994285 -1.308767923003296),3856033707,school,Sharpline Children Centre,
POINT (36.836749528572042 -1.307897233383937),1499916408,kindergarten,SDA Nursury,
POINT (36.836805942771882 -1.307846940833508),3856033708,school,Victory Academy,
POINT (36.836733718223037 -1.30776449697188),1499916424,school,mama vicky,
POINT (36.847888997421244 -1.31392694363159),3856215362,school,Benpal school,
POINT (36.842581930385712 -1.310929513078091),1493484813,school,Ignitions lord care secondary,
POINT (36.838076969067387 -1.308824861334042),3856068140,school,Exodus Acadamy,
POINT (36.83840701010277 -1.309011123309205),1499916425,school,mama victor pre school,
POINT (36.838450578394045 -1.30904390326),3856131560,school,wordwide school,
POINT (36.838347451799436 -1.308767833195195),2001079036,school,Shalom primary school/church,
POINT (36.839872970814923 -1.30915418758448),1483304302,kindergarten,Salom juniour academy,
POINT (36.839714328335752 -1.308963794447972),1483304301,school,Poters academy,
POINT (36.839770383209476 -1.308983642035044),3856131559,school,porters house school,
POINT (36.837398022375652 -1.308239941164962),3856033695,school,Grace Junior Academy,
POINT (36.83947843074214 -1.308594503568401),3856040657,kindergarten,baby care,
POINT (36.839856621476756 -1.307953543077579),3856042157,kindergarten,madwin day care,
POINT (36.840140758601116 -1.309744046983536),3856042057,school,lena junior academy,
POINT (36.84046460126104 -1.309675343817676),3856040458,kindergarten,Happy angles academy,
POINT (36.840371445966085 -1.309160294533899),2001079016,school,Baptised academy,
POINT (36.840474123403055 -1.309241031996185),1483304303,school,Sauth B Baptist Academy,
POINT (36.840512661128749 -1.309085125170122),2001079018,school,Brine academy,
POINT (36.840657020394907 -1.309346556484138),2296746212,school,South_b_baptist_academy,private_toilet
