WKT,osm_id,amenity,name
POINT (36.874086027062845 -1.319207194028047),1437347843,pharmacy,Kengori med clinic
POINT (36.873443282477055 -1.318999199343649),1432508108,pharmacy,wadani hospital
POINT (36.874496018158517 -1.319547475449641),1432508020,pharmacy,Mwa medical clinic and maternity
POINT (36.87558127285326 -1.31914684324058),1432508036,pharmacy,Paradise med clinic
POINT (36.875905744333885 -1.318667539389915),1432507883,pharmacy,Caprikema medical chemist
POINT (36.837069777970832 -1.309269321540204),1499916442,pharmacy,
POINT (36.836973927730014 -1.309127784008857),3856033699,clinic,Mukami's Clinic
POINT (36.8370769644931 -1.309260879581082),3856033710,pharmacy,
POINT (36.83707687466157 -1.309180950392126),3856033697,clinic,Kwa Kioko Clinic
POINT (36.836291028451022 -1.308709906974115),3856033696,clinic,Imara Clinic
POINT (36.847981254400914 -1.314240552828638),1500016842,pharmacy,
POINT (36.847554285146373 -1.31390386299898),3856214865,clinic,Grace medical clinic
POINT (36.848056084064076 -1.313866682524213),1456685402,pharmacy,Trust and Rejoice Medical Clinic
POINT (36.838093767563194 -1.310910743202635),1500016771,pharmacy,Trust and Rejoice Medical Clinic
POINT (36.842275964199942 -1.311234950122598),3856041557,clinic,clinic
POINT (36.842350883694643 -1.31118798053541),3856041357,clinic,clinic
POINT (36.842434247353005 -1.311186274183281),2001079052,clinic,
POINT (36.839135004809016 -1.309087100947941),3856131157,pharmacy,new line chemist
POINT (36.839669861729185 -1.309418851981833),3856130661,pharmacy,elgomed chemist
POINT (36.839858687601904 -1.309243097581954),3856040459,pharmacy,pharmacy
POINT (36.839247473882587 -1.308895001452651),3856130660,pharmacy,andrews chemist
POINT (36.837907546804793 -1.308177883758402),3856041957,pharmacy,jan medical clinic
POINT (36.839281609863392 -1.308361182114035),3856130857,pharmacy,baraka chemist
POINT (36.839194652943888 -1.307596286339504),3856041758,pharmacy,pharmacy
POINT (36.839239748371149 -1.308051882970157),3856041558,pharmacy,omwabo phermacy
POINT (36.840081020634727 -1.310021553869593),3856041857,pharmacy,imara community clinic
POINT (36.840254395484564 -1.309615890880477),3856041157,pharmacy,clinic
POINT (36.840346382969656 -1.309529944562417),3856068146,pharmacy,Mwema Dispensary
POINT (36.840503767807434 -1.309582392472632),3856068144,pharmacy,Kingori Chemist
POINT (36.839929115520178 -1.309262675742584),3856068142,pharmacy,Imara 2 Clinic
POINT (36.84117076690589 -1.308062480328224),3856130361,clinic,fema medical clinic
POINT (36.842958504152818 -1.31192862705905),1500016798,pharmacy,Trust and Rejoice Medical Clinic
POINT (36.84538844699636 -1.311833700022011),1500016792,pharmacy,
POINT (36.842792944645957 -1.310993007344743),3856040557,clinic,access afya clinic
POINT (36.845147788331744 -1.311305449405725),1493484799,pharmacy,Enina clinic & pharmacy
POINT (36.846653813905576 -1.312301689381649),1500016811,pharmacy,Trust and Rejoice Medical Clinic
POINT (36.845593173049615 -1.312143537546827),1500016806,pharmacy,
POINT (36.834136149747479 -1.307019089385509),4734041121,hospital,
POINT (36.83902280523003 -1.307326412877453),1483304308,pharmacy,chemist
POINT (36.838944472137257 -1.307133954014763),1483304307,pharmacy,chemist
POINT (36.841130073223518 -1.306883928106693),3856130358,pharmacy,Afya Medical Clinic
POINT (36.848489341525614 -1.314788650365682),1500016847,pharmacy,
POINT (36.849425296220133 -1.314421336119347),3856148566,pharmacy,New Hope chemist
POINT (36.849496981779808 -1.31435712347661),3856214868,pharmacy,
POINT (36.849287225160964 -1.313778940193869),1453973005,pharmacy,chemist
POINT (36.84933609351242 -1.31366883568902),3856214669,pharmacy,Tahidi chemist
POINT (36.849336991827705 -1.313637223301731),3856215363,pharmacy,Faith Chemist
POINT (36.849370768482395 -1.313682127260824),3856214866,pharmacy,Newstart Herbal
POINT (36.849721291106256 -1.313070894500429),1486028890,pharmacy,Upendo Medical Clinic
POINT (36.858879974753968 -1.313931613642828),1678061743,hospital,Avenue Healthcare Hospital
POINT (36.862223504241456 -1.310407279409364),949597743,hospital,Lunga Lunga Health Centre
POINT (36.866768710084514 -1.311462433789568),1432508043,pharmacy,Riverside medical clinic
POINT (36.86739178156558 -1.31144995047794),1432508038,pharmacy,Pona medical clinic
POINT (36.873934660937465 -1.31686509743926),1432507872,pharmacy,Afya dispesing clinic
POINT (36.874071025197601 -1.316660425448226),1437348037,pharmacy,Glory Medical Clinic Pharmacy
POINT (36.875247189399097 -1.316871653408854),1432508076,hospital,amani hospital maternity service center
POINT (36.874382381275076 -1.316182558044361),1437348033,pharmacy,Ponya Clinic Pharmacy
POINT (36.874629777304321 -1.315903435301149),1437348030,pharmacy,Rueben Medical Clinic Pharmacy
POINT (36.875519289098655 -1.315994949485843),1432508056,pharmacy,St. Mark Mediacal clinic
POINT (36.874951284344505 -1.315545191811784),1432508063,pharmacy,Tumaini comm health service
POINT (36.876895418282402 -1.316841208563598),1432507889,pharmacy,Col-phrm chemist
POINT (36.875847443671944 -1.316203662883719),1432508057,pharmacy,St. Mathias medical clinic
