WKT,osm_id,amenity,denomination,name,religion
POINT (36.875649993972495 -1.319043294936641),1432507890,place_of_worship,pentecostal,Cross of grace ministries,christian
POINT (36.83703600131615 -1.309283960256502),3856033698,place_of_worship,,Mountain of the Lord,christian
POINT (36.837120353121321 -1.309329852182505),3856033705,place_of_worship,,Saint Pauls AIPCA Church,christian
POINT (36.836513002157737 -1.308881799663503),3856033703,place_of_worship,,SDA Church,christian
POINT (36.836467906730469 -1.308383903565319),3856033694,place_of_worship,,Builder Chapel Ministry,christian
POINT (36.837013094276401 -1.308377706805891),3856033704,place_of_worship,,Saint Charles Lwanga Catholic Church,christian
POINT (36.836630411965366 -1.307768358721454),1499916397,place_of_worship,anglican,ACK church,christian
POINT (36.848073691043652 -1.313024463795359),1999910119,place_of_worship,pentecostal,Jesus sanctuary church and primary school,christian
POINT (36.841911517689176 -1.31149395639635),1493484781,place_of_worship,,Christ ambassodar church,christian
POINT (36.842341271721097 -1.311880759405061),1493484947,place_of_worship,,st veronica ACK Church,christian
POINT (36.840851864980031 -1.31026771771918),3856041359,place_of_worship,,st. agatha christian community,christian
POINT (36.842407208062951 -1.311198937112231),2001079023,place_of_worship,,Christ ambassadors church,christian
POINT (36.842558843682916 -1.311143884803619),3856041657,place_of_worship,,full gospel church,christian
POINT (36.842640141216123 -1.310825605201174),3856040658,place_of_worship,,st.perpetual christian community,christian
POINT (36.838455159801995 -1.309026390683598),3856130858,place_of_worship,,wordwide gospel church,christian
POINT (36.838476719368821 -1.308964423104579),3838683007,place_of_worship,,abc church south b region,christian
POINT (36.837356789704103 -1.308217040096152),3856033709,place_of_worship,,,christian
POINT (36.837918416419733 -1.307886636025183),3856040457,place_of_worship,,Gethsemane worship centre,christian
POINT (36.839558650297015 -1.30834492684638),3856040757,place_of_worship,,bethwell church,christian
POINT (36.839312871235272 -1.308142589169042),3856041358,place_of_worship,,four square church,christian
POINT (36.839177854448074 -1.307503694149972),3856041757,place_of_worship,,healing and hope church,christian
POINT (36.840467026712311 -1.309672919000025),3856040857,place_of_worship,,church,christian
POINT (36.84037288327054 -1.309236721208511),3856068141,place_of_worship,,Harvest Christian Church International,christian
POINT (36.840516883210583 -1.309180052311343),3856068137,place_of_worship,,Bible Baptist,christian
POINT (36.840577968649903 -1.309030701471642),3856068138,place_of_worship,,Christ Alive Ministry,christian
POINT (36.840677771477971 -1.308687993798654),3856068139,place_of_worship,,Church of Joy,christian
POINT (36.840745863776505 -1.30847694476289),3856068145,place_of_worship,,Mariakani PAG,christian
POINT (36.841285571599201 -1.30762125300108),2001079035,place_of_worship,,Seventh day adventist church,christian
POINT (36.84514994428843 -1.31238610886918),3844262705,place_of_worship,evangelical,New israel true gospel church,christian
POINT (36.845237530028633 -1.312247535176987),2001001129,place_of_worship,protestant,A.D.C church,christian
POINT (36.842727098135633 -1.311041952711862),3856101437,place_of_worship,,African Evalingelical Church,christian
POINT (36.842715779363047 -1.311008723747137),2001079025,place_of_worship,,Full gospel churches of east africa,christian
POINT (36.842790159868578 -1.310942535240412),1493484847,place_of_worship,presbyterian,Mukuru Africa evangelicul prospytorian church,christian
POINT (36.842826721300639 -1.310941547352241),2001079033,place_of_worship,,Mukuru africa evangelical el-shadai church/ school,christian
