WKT,osm_id,access,amenity,name,operator,watsan:cost,watsan:location,watsan:type,opening_hours
POINT (36.836619991508073 -1.309239954299276),6584041494,permissive,toilets,,,,,,
POINT (36.83653995161626 -1.308635905102117),6584041490,permissive,toilets,,,,,,
POINT (36.836278901194696 -1.307643794842803),2318127101,,toilets,plot-toilet,,free,by_the_river,,06:30-21:00
POINT (36.836241261784288 -1.307626821105441),2318127092,,toilets,plot-toilet,,free,by_the_river,,06:30-21:00
POINT (36.83633091364964 -1.307664450713511),2318127046,,toilets,Nyagokia youth project,,ksh 3,,,06:30-21:00
POINT (36.836307377789197 -1.307650620260976),2318127111,,toilets,plot-toilet,,free,by_the_river,,06:30-21:00
POINT (36.836130319846696 -1.307508094748776),2318127082,,toilets,plot-toilet,,free,by_the_river,,24/7
POINT (36.836175864431596 -1.307434721498322),2318127063,,toilets,,,,,,
POINT (36.83659295221802 -1.307894898372682),6584041488,permissive,toilets,,,,,,
POINT (36.837020011304091 -1.307797995404),1499927320,,toilets,,Puplic toilet,,,,
POINT (36.845520858669239 -1.312904929423014),2296848708,,toilets,Toilet,,ksh 5,,private_toilet,24/7
POINT (36.845587872989434 -1.312868557204911),2296848689,,toilets,Toilet,,free,,private_toilet,24/7
POINT (36.845636382014774 -1.312890200919949),2296848701,,toilets,Toilet,,free,,private_toilet,24/7
POINT (36.845709594710435 -1.312937439899012),2305020643,,toilets,toilet-plot,,free,plot-by_the_river,,08:00-18:00
POINT (36.846054547779531 -1.313047275012253),2305020632,,toilets,plot-toilet,,free,plot-by_the_river,,24/7
POINT (36.845813170462691 -1.312931602382624),2305020629,,toilets,plot-toilet,,free,plot-by_the_river,,24/7
POINT (36.845880903435116 -1.312950192627043),2296848723,,toilets,Toilet,,free,,,24/7
POINT (36.845927256503778 -1.313024643411231),2305020631,,toilets,plot-toilet,,free,plot-by_the_river,,24/7
POINT (36.845920159813026 -1.312998239876446),2305020630,,toilets,plot-toilet,,free,plot-by_the_river,,24/7
POINT (36.846344973110888 -1.313381809567084),2305020636,,toilets,plot-toilet,,free,plot-by_the_river,,24/7
POINT (36.846094792304257 -1.313240002844479),2296848753,,toilets,toilet,,free,,private_toilet,24/7
POINT (36.846178425457211 -1.313274399282689),2296848763,,toilets,toilet,,not_sure,,private_toilet,24/7
POINT (36.846171059271889 -1.31322401703231),2305020634,,toilets,plot-toilet,,free,,,24/7
POINT (36.846339673050714 -1.313359716816653),2305020635,,toilets,plot-toilet,,free,plot-by_the_river,,24/7
POINT (36.846263226420035 -1.313274938130278),2296848779,,toilets,Toilet,,,,private_toilet,24/7
