WKT,osm_id,amenity,name,operator,operational_status,watsan:availability,watsan:type,watsan:water_public,opening_hours
POINT (36.875758779953401 -1.318910379501174),1432508119,drinking_water,,,,,,,
POINT (36.875891371289342 -1.318716754029753),1432508118,drinking_water,,,,,,,
POINT (36.836159515093435 -1.308812557625462),3887566864,drinking_water,,Veronicah,,often,piped_tap,,
POINT (36.836568967199931 -1.309194780836239),3887292718,drinking_water,,Mama Wairimu,,always,water_tank,,
POINT (36.836530609137299 -1.309117635695711),3881495587,drinking_water,,Alfred,,often,piped_tap,,
POINT (36.836680088800577 -1.30923779890542),3887292719,drinking_water,,Mama Wairimu,,,piped_tap,,
POINT (36.836743959017276 -1.309181938280997),3887292717,drinking_water,,PCEA,,always,piped_tap,,
POINT (36.836918861003099 -1.309427563364635),3887292722,drinking_water,,Baba Bakari,,often,piped_tap,,
POINT (36.836924071231742 -1.309428551253404),3887292723,drinking_water,,Baba Bakari,,always,water_tank,,
POINT (36.837112717441407 -1.309323296193139),3887292720,drinking_water,,shosho(Mary Muibi),,always,piped_tap,,
POINT (36.837029982603745 -1.309155085665288),1499916440,drinking_water,water tank,,,,,,
POINT (36.836671015816208 -1.308948886305538),3887292714,drinking_water,,Magdaline Mutethia,,always,piped_tap,,
POINT (36.836792288379563 -1.308904790534334),3887292713,drinking_water,,Mama Gerald,,always,piped_tap,,
POINT (36.83676695588855 -1.308768910892321),3887292711,drinking_water,,Mama Nyambura,,always,piped_tap,,
POINT (36.836913650774449 -1.309053153492618),3887292715,drinking_water,,Wa Kamau,,always,piped_tap,,
POINT (36.836838192290578 -1.308825130758321),3887292712,drinking_water,,Mama Gerald,,always,piped_tap,,
POINT (36.836916974540998 -1.308747895798317),3887292710,drinking_water,,Chania,,always,piped_tap,,
POINT (36.83627845203705 -1.308701824245477),3887292709,drinking_water,,kwa wachera,,never,piped_tap,,
POINT (36.836173618643386 -1.30864452667954),3887566861,drinking_water,,Mkisii,,often,piped_tap,,
POINT (36.836461349028902 -1.308697154224481),3887292708,drinking_water,,Mama Naomi,,always,piped_tap,,
POINT (36.836189428992391 -1.30831250611888),3887566857,drinking_water,,Mary Muthoni,,often,piped_tap,,
POINT (36.836220241206632 -1.30815273748612),3887564256,drinking_water,,Mokaya,,always,piped_tap,,
POINT (36.836379422674987 -1.308086908136447),3887564254,drinking_water,,David Mueithi,,always,piped_tap,,
POINT (36.8367168298957 -1.308470119346969),3887292706,drinking_water,,Mama Wachuka,,always,piped_tap,,
